activity,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco City and,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Door-to-door sales and services,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Drive-in theaters,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Dry cleaners,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Electricians,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
Estheticians,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Y2,N,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor,Outdoor,Y2,Y2,Outdoor,Y2,Outdoor,Outdoor,Outdoor
Electrologists,N,Y2,N,N,N,N,N,Y2,Y2,N,N,Y2,N,N,N,N,Y2,Y2,N,N,N,Y2,N,N,Y2,N,N,N,Y2,N,N,Y2,N,N,N,N,N,N,N,N,N,N,N,N,Y2,N,Y2,N,N,N,N,Y2,Y2,N,Y2,N,N,N
Family entertainment centers,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,N,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor,Outdoor
Farmers markets,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1,Y1
Festivals,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Film and TV production,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,N,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2,Y2
